drug_a,drug_b
CALCIUM,CLARITHROMYCIN
CLARITHROMYCIN,COLCHICINE
CLARITHROMYCIN,DILTIAZEM
CLARITHROMYCIN,LOVASTATIN
CLARITHROMYCIN,LURASIDONE
CLARITHROMYCIN,NIFEDIPINE
CLARITHROMYCIN,PRAVASTATIN
CLARITHROMYCIN,SIMVASTATIN
CLARITHROMYCIN,VERAPAMIL
ALCOHOL,CLOZAPINE
CHLORPROMAZINE,CLOZAPINE
CLOZAPINE,OLANZAPINE
ATORVASTATIN,COBICISTAT
COBICISTAT,FENTANYL
COBICISTAT,FLUVASTATIN
COBICISTAT,IRINOTECAN
COBICISTAT,LOVASTATIN
COBICISTAT,OXYCODONE
COBICISTAT,PITAVASTATIN
COBICISTAT,PRAVASTATIN
COBICISTAT,ROSUVASTATIN
COBICISTAT,SALMETEROL
COBICISTAT,SIMVASTATIN
COBIMETINIB,PHENYTOIN
COBIMETINIB,RIFAMPIN
COBIMETINIB,VEMURAFENIB
ALCOHOL,CODEINE
BENZODIAZEPINE,CODEINE
BUPRENORPHINE,CODEINE
CODEINE,CYCLOBENZAPRINE
CODEINE,GABAPENTIN
CODEINE,HYDROCODONE
CODEINE,LINEZOLID
CODEINE,METHYLENE BLUE
CODEINE,MIRTAZAPINE
CODEINE,NOREPINEPHRINE
CODEINE,OXYCODONE
CODEINE,OXYMORPHONE
CODEINE,PREGABALIN
CODEINE,TRAMADOL
CODEINE,TRAZODONE
COLCHICINE,CYCLOSPORINE
COLCHICINE,DIGOXIN
COLCHICINE,FENOFIBRATE
COLCHICINE,FENOFIBRIC ACID
COLCHICINE,FLUVASTATIN
COLCHICINE,FOSAMPRENAVIR
COLCHICINE,GEMFIBROZIL
COLCHICINE,LOVASTATIN
COLCHICINE,PRAVASTATIN
COLCHICINE,SIMVASTATIN
CYCLOPHOSPHAMIDE,CYCLOSPORINE
